submodules/helix_qa/tools/opensource/leakcanary	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 12 ref(s)	refs/heads/build-it-from-the-leafs-so-all,refs/heads/build-new-visualization-in-sha,refs/heads/heap-dump-deleted-before-analysis,refs/heads/main	384	0
submodules/helix_qa/tools/opensource/marker	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 2 ref(s)	refs/heads/master,refs/tags/v2.0.0	29	0
submodules/helix_qa/tools/opensource/llama-index	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 24 ref(s)	refs/heads/dependabot/github_actions/actions/stale-11,refs/heads/dependabot/github_actions/github/codeql-action-4.37.6,refs/heads/dependabot/pip/docs/api_reference/pip-0a2d3bd343,refs/heads/dependabot/pip/docs/api_reference/pip-27357673a3	30	0
submodules/helix_qa/tools/opensource/mem0	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 40 ref(s)	refs/heads/chore/release-py-2.0.12-ts-3.1.0,refs/heads/chore/remove-agentrush-cli,refs/heads/claude/mem0-agent-v2,refs/heads/docs/kv_dream	138	0
submodules/helix_agent/cli_agents/openhands	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 95 ref(s)	refs/heads/add-agent-canvas-chart-bump-workflow,refs/heads/add-execution-status-search-filter,refs/heads/add-landing-checklist-reusable-workflow,refs/heads/agent-server-telemetry-launch-env	976	0
submodules/helix_qa/tools/opensource/midscene	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 88 ref(s)	refs/heads/agent/android-ui-tree-inspection,refs/heads/agent/android-ui-tree-report,refs/heads/agent/android-ui-tree-report-clean,refs/heads/agent/fix-playwright-network-idle-warning	126	0
submodules/helix_qa/tools/opensource/skyvern/integrations/n8n	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 4 ref(s)	refs/heads/lawy/bump-up-version,refs/heads/lawy/remove-preinstall-and-update-docs,refs/heads/main,refs/heads/suchintan-patch-1	3	0
submodules/panoptic	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 1 ref(s)	refs/heads/main	2	0
submodules/helix_qa/tools/opensource/ui-tars-desktop	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 4 ref(s)	refs/heads/fix/agent-server-unauthenticated-rce,refs/heads/fix/agent-ui-iframe-sandbox-escape,refs/heads/fix/showcase-static-snapshot,refs/heads/main	1	0
submodules/helix_qa/tools/opensource/skyvern	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 288 ref(s)	refs/heads/andrew/orphaned-ci-defer-sync-merges,refs/heads/ao/skyvern-122/fix-restore-flex-col-layout,refs/heads/ao/skyvern-132/download-handler-ci-tolerances,refs/heads/ao/skyvern-132/loosen-download-handler-tolerances	781	0
submodules/helix_qa/tools/opensource/unstructured	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 8 ref(s)	refs/heads/fix/avoid-spooled-upload-copies,refs/heads/fix/reject-url-error-responses,refs/heads/fix/ssrf-url-host-validation,refs/heads/main	8	0
submodules/helix_qa/tools/opensource/signoz	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 113 ref(s)	refs/heads/ab/dashboards-fga-foundations,refs/heads/ab/dashboards-fga-frontend,refs/heads/ab/dashboards-fga-list,refs/heads/chore/llm-o11y-uat	302	0
submodules/security	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 1 ref(s)	refs/heads/main	7	0
submodules/storage	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 1 ref(s)	refs/heads/main	1	0
submodules/helix_qa/tools/opensource/perfetto	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 102 ref(s)	refs/heads/canary,refs/heads/dev/adyabr/cl_cadence_drop,refs/heads/dev/adyabr/cl_jank_badges_framework,refs/heads/dev/adyabr/cl_skipped_frame	355	0
